# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61153,632292,-3.41406,-2.88672,12.96875,0.59020996,0.02923584,0.07501221,-0.80322266,-4.97916,7.78824,-107.72207,24,26,0.434,51451,1
61154,632302,-3.41406,-2.88672,12.96875,0.58880615,0.01464844,0.07568359,-0.80462646,-6.03914,6.47054,-107.95016,24,26,0.434,51451,1
61155,632315,-1.11328,-1.50781,11.28516,0.58679199,0.00006104,0.07525635,-0.80621338,-6.99337,5.07277,-108.21314,24,26,0.434,51451,1
61156,632322,-0.65625,-1.92969,10.82422,0.58428955,-0.01477051,0.07366943,-0.80810547,-7.85001,3.56677,-108.50822,24,26,0.434,51451,1
61157,632332,-0.30859,-1.89453,11.47656,0.5814209,-0.02856445,0.07147217,-0.80993652,-8.57461,2.11132,-108.8122,24,26,0.434,51451,1
61158,632343,0.11328,-1.28125,11.20703,0.57824707,-0.04223633,0.06872559,-0.81188965,-9.23267,0.62441,-109.13168,24,26,0.434,51451,1
61159,632351,0.37891,-1.43359,9.86719,0.574646,-0.0557251,0.06573486,-0.81384277,-9.8496,-0.86833,-109.47414,24,26,0.434,51451,1
61160,632361,0.1875,-2.27734,9.48438,0.57073975,-0.06872559,0.06237793,-0.81585693,-10.39227,-2.34624,-109.83651,24,26,0.434,51451,1
61161,632372,-0.07812,-2.00781,10.82031,0.56646729,-0.08105469,0.0581665,-0.8180542,-10.80134,-3.82516,-110.23637,24,26,0.434,51451,1
61162,632387,-0.11719,-2.73438,10.85938,0.56213379,-0.09191895,0.05297852,-0.82019043,-11.01408,-5.234,-110.64389,24,26,0.434,51451,1
61163,632392,-0.11719,-2.73438,10.85938,0.55786133,-0.10308838,0.0458374,-0.82220459,-11.05492,-6.79877,-111.02794,24,26,0.434,51451,1
61164,632401,-0.00391,-1.125,10.39844,0.55297852,-0.11260986,0.03826904,-0.824646,-10.93083,-8.24503,-111.52094,24,26,0.434,51451,1
61165,632412,0.03516,-0.55078,10.17578,0.54803467,-0.1217041,0.03033447,-0.82696533,-10.7326,-9.67449,-112.02376,24,26,0.434,51451,1
61166,632423,0.53125,2.32031,9.32812,0.54315186,-0.1307373,0.02294922,-0.82910156,-10.57226,-11.06083,-112.51512,24,26,0.434,51451,1
61167,632431,0.95312,2.93359,8.10156,0.53729248,-0.14160156,0.015625,-0.83123779,-10.51935,-12.62876,-113.07739,24,26,0.434,51451,1
61168,632441,1.14453,2.47266,7.33594,0.53167725,-0.15216064,0.01068115,-0.83312988,-10.66687,-14.01456,-113.59568,24,26,0.434,51451,1
