# PadDis v8.1
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz
152,23552,0.15234,-6.55078,7.31250,0.87457275,-0.33770752,0.11639404,-0.32788086,-41.84732,-1.02370,-40.71104,0,0,0.000
153,23562,0.15234,-6.51172,7.27344,0.87457275,-0.33764648,0.11633301,-0.32794189,-41.83802,-1.02990,-40.71578,0,0,0.000
154,23572,0.15234,-6.55078,7.27734,0.87457275,-0.33770752,0.11627197,-0.32794189,-41.84190,-1.03828,-40.71254,0,0,0.000
155,23584,0.19141,-6.58984,7.39453,0.87457275,-0.33782959,0.11614990,-0.32788086,-41.85059,-1.05273,-40.69991,0,0,0.000
156,23592,0.19141,-6.62891,7.39453,0.87457275,-0.33789062,0.11596680,-0.32788086,-41.84997,-1.07338,-40.69202,0,0,0.000
157,23602,0.19141,-6.62891,7.39453,0.87457275,-0.33789062,0.11590576,-0.32781982,-41.84865,-1.07719,-40.68356,0,0,0.000
158,23612,0.15234,-6.58984,7.42969,0.87463379,-0.33795166,0.11584473,-0.32775879,-41.85114,-1.08233,-40.67193,0,0,0.000
159,23624,0.19141,-6.47266,7.35156,0.87463379,-0.33795166,0.11578369,-0.32769775,-41.84982,-1.08614,-40.66348,0,0,0.000
160,23632,0.23047,-6.58984,7.31250,0.87463379,-0.33801270,0.11560059,-0.32769775,-41.84921,-1.10679,-40.65559,0,0,0.000
161,23643,0.23047,-6.62891,7.39453,0.87463379,-0.33819580,0.11547852,-0.32763672,-41.86405,-1.12348,-40.64202,0,0,0.000
162,23653,0.23047,-6.58984,7.46875,0.87457275,-0.33843994,0.11535645,-0.32757568,-41.88735,-1.14333,-40.62978,0,0,0.000
163,23663,0.15234,-6.62891,7.35547,0.87457275,-0.33856201,0.11523438,-0.32751465,-41.89606,-1.15776,-40.61715,0,0,0.000
164,23673,0.15234,-6.62891,7.23438,0.87457275,-0.33868408,0.11511230,-0.32739258,-41.90571,-1.16987,-40.59837,0,0,0.000
165,23682,0.19141,-6.58984,7.12500,0.87463379,-0.33874512,0.11474609,-0.32727051,-41.89793,-1.20335,-40.56898,0,0,0.000
166,23692,0.23047,-6.55078,7.16797,0.87475586,-0.33874512,0.11419678,-0.32708740,-41.87594,-1.24975,-40.52520,0,0,0.000
167,23703,0.26953,-6.55078,7.20312,0.87487793,-0.33892822,0.11346436,-0.32684326,-41.86663,-1.31897,-40.46553,0,0,0.000
168,23712,0.30469,-6.70312,7.20703,0.87506104,-0.33898926,0.11248779,-0.32659912,-41.83389,-1.40736,-40.39626,0,0,0.000
169,23722,0.00000,-6.78125,7.35156,0.87542725,-0.33892822,0.11132812,-0.32611084,-41.77911,-1.49773,-40.29071,0,0,0.000
170,23732,0.03906,-6.85547,7.58984,0.87585449,-0.33886719,0.11022949,-0.32550049,-41.72628,-1.57649,-40.17305,0,0,0.000
171,23744,-0.03906,-7.27734,8.23438,0.87628174,-0.33843994,0.10961914,-0.32495117,-41.65340,-1.59520,-40.08569,0,0,0.000
172,23753,0.42188,-6.70312,8.08203,0.87677002,-0.33746338,0.10943604,-0.32464600,-41.53453,-1.55935,-40.04531,0,0,0.000
173,23762,0.26953,-6.82031,7.92969,0.87695312,-0.33691406,0.10949707,-0.32470703,-41.47349,-1.53282,-40.05553,0,0,0.000
174,23772,0.53516,-6.82031,7.73438,0.87713623,-0.33636475,0.10986328,-0.32464600,-41.42537,-1.47091,-40.06487,0,0,0.000
175,23783,0.19141,-6.20703,6.70312,0.87738037,-0.33563232,0.10986328,-0.32470703,-41.34135,-1.44297,-40.07328,0,0,0.000
176,23792,0.11328,-6.12891,6.97266,0.87768555,-0.33471680,0.10943604,-0.32495117,-41.21830,-1.45742,-40.08468,0,0,0.000
177,23802,0.23047,-6.20703,7.39453,0.87805176,-0.33355713,0.10888672,-0.32537842,-41.06111,-1.48122,-40.11152,0,0,0.000
178,23812,0.42188,-6.08984,7.31250,0.87841797,-0.33239746,0.10827637,-0.32586670,-40.90078,-1.51337,-40.14233,0,0,0.000
179,23823,0.38281,-6.08984,7.42969,0.87860107,-0.33135986,0.10760498,-0.32659912,-40.75364,-1.56783,-40.20047,0,0,0.000
180,23832,0.49609,-6.35938,7.93359,0.87860107,-0.33068848,0.10711670,-0.32739258,-40.65597,-1.62200,-40.27281,0,0,0.000
181,23842,0.46094,-6.62891,8.19531,0.87841797,-0.33038330,0.10705566,-0.32836914,-40.61482,-1.65576,-40.38061,0,0,0.000
182,23854,0.19141,-6.97266,8.57812,0.87799072,-0.33056641,0.10754395,-0.32910156,-40.65579,-1.64658,-40.48547,0,0,0.000
183,23862,-0.07812,-7.20312,8.35547,0.87756348,-0.33093262,0.10839844,-0.32965088,-40.73152,-1.60048,-40.58255,0,0,0.000
184,23872,-0.19141,-7.58594,8.81250,0.87731934,-0.33081055,0.10961914,-0.32995605,-40.76849,-1.48777,-40.66927,0,0,0.000
185,23882,0.07812,-8.00781,9.46484,0.87750244,-0.32983398,0.11120605,-0.32989502,-40.72268,-1.28663,-40.72975,0,0,0.000
186,23893,-0.46094,-5.66797,9.92188,0.87780762,-0.32843018,0.11328125,-0.32971191,-40.64940,-1.01403,-40.79760,0,0,0.000
